Season,Injury,Days,Games missed,player_name,player_age,player_position,club,league,salary_eur,salary_daily_eur,injury_cost_eur
22/23,Knee problems,8,1,Callum Hudson-Odoi,22,Left Winger,Bayer Leverkusen,Bundesliga,7176000.0,19660.27397260274,157282.19178082192
22/23,Muscle injury,5,1,Moussa Diaby,23,Right Winger,Bayer Leverkusen,Bundesliga,2930200.0,8027.945205479452,40139.72602739726
22/23,Muscle injury,23,5,Karim Bellarabi,33,Right Winger,Bayer Leverkusen,Bundesliga,4887459.0,13390.298630136986,307976.8684931507
22/23,Muscle fatigue,4,1,Karim Bellarabi,33,Right Winger,Bayer Leverkusen,Bundesliga,4887459.0,13390.298630136986,53561.19452054794
22/23,Fitness,26,6,Karim Bellarabi,33,Right Winger,Bayer Leverkusen,Bundesliga,4887459.0,13390.298630136986,348147.7643835616
22/23,Meniscus tear,46,7,Karim Bellarabi,33,Right Winger,Bayer Leverkusen,Bundesliga,4887459.0,13390.298630136986,615953.7369863014
22/23,Thigh problems,8,1,Karim Bellarabi,33,Right Winger,Bayer Leverkusen,Bundesliga,4887459.0,13390.298630136986,107122.38904109588
22/23,Adductor injury,222,42,Patrik Schick,27,Forward,Bayer Leverkusen,Bundesliga,5621200.0,15400.54794520548,3418921.6438356163
22/23,Adductor pain,105,13,Patrik Schick,27,Forward,Bayer Leverkusen,Bundesliga,5621200.0,15400.54794520548,1617057.534246575
22/23,Adductor pain,5,1,Patrik Schick,27,Forward,Bayer Leverkusen,Bundesliga,5621200.0,15400.54794520548,77002.73972602739
22/23,Torn muscle fiber,41,11,Sardar Azmoun,28,Forward,Bayer Leverkusen,Bundesliga,4355000.0,11931.506849315068,489191.7808219178
22/23,Tear of the lateral meniscus,94,12,Hrvoje Smolcic,22,Centre-Back,Eintracht Frankfurt,Bundesliga,150000.0,410.958904109589,38630.13698630137
22/23,Fitness,8,1,Almamy Touré,27,Centre-Back,Eintracht Frankfurt,Bundesliga,2276054.0,6235.764383561644,49886.11506849315
22/23,muscular problems,15,3,Almamy Touré,27,Centre-Back,Eintracht Frankfurt,Bundesliga,2276054.0,6235.764383561644,93536.46575342464
22/23,Fitness,12,3,Almamy Touré,27,Centre-Back,Eintracht Frankfurt,Bundesliga,2276054.0,6235.764383561644,74829.17260273972
22/23,Hamstring injury,53,10,Almamy Touré,27,Centre-Back,Eintracht Frankfurt,Bundesliga,2276054.0,6235.764383561644,330495.5123287671
22/23,Shoulder injury,8,2,Luca Pellegrini,24,Left-Back,Eintracht Frankfurt,Bundesliga,2137538.0,5856.268493150685,46850.14794520548
